Year,P_L,ET,P_O,E,P_TOT,E_TOT,period,PpE,PmE,mean_PpE,sd_PpE,mean_PmE,sd_PmE
1990,1.83822397417222,1.28675678192055,2.42601666947895,2.6534557322426,2.25441056747218,2.25441056747218,1990-2020,4.50882113494437,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
1993,2.18748652926494,1.323521261404,3.47223635819175,3.82855755652147,3.09713070817012,3.09713070817012,1990-2020,6.19426141634024,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
1995,2.02939926748613,1.27572743807552,2.91652691483923,3.22736030061622,2.65752064751304,2.65752064751304,1990-2020,5.31504129502608,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
1998,2.18748652926494,1.36396218883579,3.47223635819175,3.8118786919188,3.09713070817012,3.09713070817012,1990-2020,6.19426141634024,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
1999,2.11395757029805,1.37866798062916,2.96428911801959,3.26754120170446,2.71602796938315,2.71602796938315,1990-2020,5.43205593876631,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2006,2.04042861133116,1.2040367030828,2.96428911801959,3.30923836321113,2.69455739255009,2.69455739255009,1990-2020,5.38911478510017,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2007,1.90256181326825,1.1580811037285,2.85056958663777,3.16140297241476,2.57378539786408,2.57646921996821,1990-2020,5.15025461783228,-0.00268382210413343,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2007,2.07719309081461,1.34190350114572,2.8278256803614,3.13107776404627,2.60867508521781,2.60867508521781,1990-2020,5.21735017043562,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2009,2.07719309081461,1.44852049164771,3.16670988387924,3.42523228522059,2.84860878132735,2.84914554574818,1990-2020,5.69775432707553,-5.367644208265e-4,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2010,NA,NA,2.83692324287195,3.10226881609621,NA,NA,1990-2020,NA,NA,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2010,2.15072204978149,1.50734365882122,NA,NA,NA,NA,1990-2020,NA,NA,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2011,2.02204637158944,1.30513902166227,2.91880130546686,3.22205338915173,2.65698388309222,2.66235152730048,1990-2020,5.3193354103927,-0.00536764420826685,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2011,2.31616220745699,1.33271238127486,NA,NA,NA,NA,1990-2020,NA,NA,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2011,2.09557533055633,1.36028574088744,2.92638260755898,3.22963469124385,2.68382210413355,2.68382210413355,1990-2020,5.3676442082671,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2013,2.02204637158944,1.3363888292232,NA,NA,NA,NA,1990-2020,NA,NA,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2015,2.02939926748613,1.56432860202056,2.91652691483923,3.10833385776991,2.65752064751304,2.65752064751304,1990-2020,5.31504129502608,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2015,2.14153092991063,1.29778612576559,3.05905539417111,3.40779529040871,2.79117498829889,2.79171175271972,1990-2020,5.58288674101861,-5.3676442082695e-4,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2017,2.16175139362653,1.31984481345565,2.92638260755898,3.27360624337816,2.70314562328331,2.70314562328331,1990-2020,5.40629124656663,0,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2018,2.10844289837553,1.24999230243711,NA,NA,NA,NA,1990-2020,NA,NA,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
2019,2.02204637158944,1.26837454217883,2.88089479500625,3.18414687869112,2.63014566205088,2.62477801784261,1990-2020,5.25492367989349,0.00536764420826685,5.4230025122017,0.406204274120941,-2.5049006305245e-4,0.00214577929219412
