Year,P,PmE,T,E,PpE,dT,dPpE,dPmE,period,mean_PpE,mean_PmE
1973,2.838756,-0.02306478,14.44195,2.86182078,5.70057678,-0.198929999999999,0.104061367333334,0.0252584993333333,1960-1990,5.572424605666667,-0.062464272333333334
1974,2.785074,-0.0270936,14.1572,2.8121676,5.5972416,-0.48368,7.2618733333396e-4,0.0212296793333333,1960-1990,5.572424605666667,-0.062464272333333334
1975,2.729715,-0.03818686,14.18387,2.76790186,5.49761686,-0.457009999999999,-0.0988985526666655,0.0101364193333333,1960-1990,5.572424605666667,-0.062464272333333334
1976,2.685731,-0.04660808,14.10918,2.73233908,5.41807008,-0.531699999999999,-0.178445332666667,0.00171519933333333,1960-1990,5.572424605666667,-0.062464272333333334
1977,2.709015,-0.03775298,14.43787,2.74676798,5.45578298,-0.203009999999999,-0.140732432666666,0.0105702993333333,1960-1990,5.572424605666667,-0.062464272333333334
1978,2.676091,-0.0484675,14.35124,2.7245585,5.4006495,-0.289639999999999,-0.195865912666666,-1.4422066666666e-4,1960-1990,5.572424605666667,-0.062464272333333334
1979,2.702675,-0.03282544,14.46581,2.73550044,5.43817544,-0.17507,-0.158339972666666,0.0154978393333333,1960-1990,5.572424605666667,-0.062464272333333334
1980,2.718477,-0.07653461,14.66104,2.79501161,5.51348861,0.0201600000000006,-0.0830268026666667,-0.0282113306666667,1960-1990,5.572424605666667,-0.062464272333333334
1981,2.674341,-0.0883134,14.61959,2.7626544,5.4369954,-0.0212899999999987,-0.159520012666666,-0.0399901206666667,1960-1990,5.572424605666667,-0.062464272333333334
1982,2.6851409999999998,-0.07952273,14.34975,2.76466373,5.44980473,-0.291129999999999,-0.146710682666667,-0.0311994506666667,1960-1990,5.572424605666667,-0.062464272333333334
1983,2.699221,-0.07681133,14.54605,2.77603233,5.47525333,-0.09483,-0.121262082666666,-0.0284880506666667,1960-1990,5.572424605666667,-0.062464272333333334
1984,2.705104,-0.04954187,14.38808,2.75464587,5.45974987,-0.252799999999999,-0.136765542666667,-0.00121859066666667,1960-1990,5.572424605666667,-0.062464272333333334
1985,2.697019,-0.0518244,14.3621,2.7488434,5.4458624,-0.278779999999999,-0.150653012666666,-0.00350112066666667,1960-1990,5.572424605666667,-0.062464272333333334
1986,2.750124,-0.02125345,14.44749,2.77137745,5.52150145,-0.193389999999999,-0.0750139626666657,0.0270698293333333,1960-1990,5.572424605666667,-0.062464272333333334
1987,2.740842,-0.03573858,14.54568,2.77658058,5.51742258,-0.0951999999999984,-0.0790928326666664,0.0125846993333333,1960-1990,5.572424605666667,-0.062464272333333334
1988,2.753409,-0.02723134,14.59867,2.78064034,5.53404934,-0.042209999999999,-0.0624660726666662,0.0210919393333333,1960-1990,5.572424605666667,-0.062464272333333334
1989,2.727621,-0.03212162,14.46331,2.75974262,5.48736362,-0.177569999999999,-0.109151792666666,0.0162016593333333,1960-1990,5.572424605666667,-0.062464272333333334
1990,2.716182,-0.08603724,14.65226,2.80221924,5.51840124,0.0113800000000008,-0.078114172666667,-0.0377139606666667,1990-2020,5.667014934866667,-0.0354864682
1991,2.693333,-0.08403967,14.65015,2.77737267,5.47070567,0.00927000000000078,-0.125809742666666,-0.0357163906666667,1990-2020,5.667014934866667,-0.0354864682
1992,2.72645,-0.07723361,14.42507,2.80368361,5.53013361,-0.215809999999999,-0.0663818026666663,-0.0289103306666667,1990-2020,5.667014934866667,-0.0354864682
1993,2.751365,-0.05175335,14.36667,2.80311835,5.55448335,-0.27421,-0.0420320626666664,-0.00343007066666667,1990-2020,5.667014934866667,-0.0354864682
1994,2.757672,-0.05989443,14.44058,2.81756643,5.57523843,-0.200299999999999,-0.0212769826666666,-0.0115711506666667,1990-2020,5.667014934866667,-0.0354864682
1995,2.790238,-0.04829935,14.63784,2.83853735,5.62877535,-0.0030399999999986,0.0322599373333334,2.39293333333321e-5,1990-2020,5.667014934866667,-0.0354864682
